# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* AKMGFOCH_03489      K07746   34.53   67.4   7.9e-19 antitoxin ParD1/3/4
* AKMGFOCH_03490      K03497   53.27   91.6   1.8e-26 ParB family transcriptional regulator, chromosome partitioning protein
* AKMGFOCH_03491      K03630   44.00  168.4   1.1e-49 DNA repair protein RadC
* AKMGFOCH_03503      K05834  159.47  223.0     1e-66 homoserine/homoserine lactone efflux protein
* AKMGFOCH_03504      K03719  128.80  167.6   1.5e-49 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* AKMGFOCH_03505      K05834  159.47  175.7   2.7e-52 homoserine/homoserine lactone efflux protein
* AKMGFOCH_03506      K11939  132.43  397.9  2.8e-119 inner membrane transporter RhtA
* AKMGFOCH_03507      K07795   99.77  280.7   8.7e-84 putative tricarboxylic transport membrane protein
* AKMGFOCH_03508      K22131  373.20  386.1  2.9e-116 2-dehydrotetronate isomerase [EC:5.3.1.35]
* AKMGFOCH_03508      K01816  139.93  329.7   9.8e-99 hydroxypyruvate isomerase [EC:5.3.1.22]
* AKMGFOCH_03509      K02014  162.10  257.4   1.3e-76 iron complex outermembrane recepter protein
* AKMGFOCH_03511      K03762  468.90  507.2  2.5e-152 MFS transporter, MHS family, proline/betaine transporter
* AKMGFOCH_03512      K14057  280.90  326.1     7e-98 LysR family transcriptional regulator, regulator of abg operon
* AKMGFOCH_03513      K05799  137.50  209.9   2.8e-62 GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
* AKMGFOCH_03514      K21948  302.00  618.9  1.6e-186 3-dehydrotetronate 4-kinase [EC:2.7.1.217]
* AKMGFOCH_03515      K08319  322.63  462.5  2.3e-139 L-threonate 2-dehydrogenase [EC:1.1.1.411]
* AKMGFOCH_03515      K00020  288.63  328.9   2.1e-98 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
* AKMGFOCH_03516      K22025  327.93  490.0  1.2e-147 D-erythronate 2-dehydrogenase [EC:1.1.1.410]
* AKMGFOCH_03517      K22131  373.20  430.3  9.6e-130 2-dehydrotetronate isomerase [EC:5.3.1.35]
* AKMGFOCH_03517      K01816  139.93  353.4  6.2e-106 hydroxypyruvate isomerase [EC:5.3.1.22]
* AKMGFOCH_03518      K22130  199.70  335.5  6.4e-101 3-dehydro-4-phosphotetronate decarboxylase [EC:4.1.1.104]
* AKMGFOCH_03521      K00433  199.23  223.4   2.3e-66 non-heme chloroperoxidase [EC:1.11.1.10]
* AKMGFOCH_03524      K07017  167.83  222.5   3.5e-66 uncharacterized protein
* AKMGFOCH_03525      K00344  274.93  339.4  1.4e-101 NADPH:quinone reductase [EC:1.6.5.5]
* AKMGFOCH_03527      K17836   90.07  188.3   8.9e-56 beta-lactamase class A [EC:3.5.2.6]
* AKMGFOCH_03528      K11206  315.20  333.3   1.2e-99 deaminated glutathione amidase [EC:3.5.1.128]
* AKMGFOCH_03531      K03111   31.73   43.5     1e-11 single-strand DNA-binding protein
* AKMGFOCH_03533      K12071  279.17  437.9  2.3e-131 conjugal transfer pilus assembly protein TraD
* AKMGFOCH_03537      K02283  328.33  336.5  1.3e-100 pilus assembly protein CpaF [EC:7.4.2.8]
* AKMGFOCH_03540      K20530  497.27  531.2  1.4e-159 type IV secretion system protein TrbE [EC:7.4.2.8]
* AKMGFOCH_03541      K20266   54.53   73.1   7.6e-21 type IV secretion system protein TrbJ
* AKMGFOCH_03544      K20531   84.63   97.6   2.9e-28 type IV secretion system protein TrbF
* AKMGFOCH_03545      K20532  178.33  181.0   1.3e-53 type IV secretion system protein TrbG
* AKMGFOCH_03557      K06077   43.60  156.9   3.8e-46 outer membrane lipoprotein SlyB
* AKMGFOCH_03569      K07459  137.40  153.2     4e-45 putative ATP-dependent endonuclease of the OLD family
* AKMGFOCH_03570      K03893  185.83  557.3  1.9e-167 arsenical pump membrane protein
* AKMGFOCH_03571      K01551   79.30  429.4  6.5e-129 arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]
* AKMGFOCH_03573      K03741  124.23  190.9   1.7e-56 arsenate reductase (thioredoxin) [EC:1.20.4.4]
* AKMGFOCH_03573      K23988  184.70  187.7   8.1e-56 ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor / arsenate reductase (thioredoxin) [EC:1.20.4.4]
* AKMGFOCH_03574      K02036  282.20  454.3  2.8e-136 phosphate transport system ATP-binding protein [EC:7.3.2.1]
* AKMGFOCH_03575      K02038  249.63  281.9     2e-84 phosphate transport system permease protein
* AKMGFOCH_03576      K02037  259.10  349.6    1e-104 phosphate transport system permease protein
* AKMGFOCH_03577      K02040   60.83  258.1     7e-77 phosphate transport system substrate-binding protein
* AKMGFOCH_03579      K07222  276.03  358.0  2.5e-107 putative flavoprotein involved in K+ transport
* AKMGFOCH_03580      K00537   76.73  204.5   7.6e-61 arsenate reductase (glutaredoxin) [EC:1.20.4.1]
* AKMGFOCH_03582      K11811  107.30  456.0  2.6e-137 arsenical resistance protein ArsH
* AKMGFOCH_03588      K08355  112.03  212.7   1.4e-63 arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1]
* AKMGFOCH_03589      K08356  630.90 1196.3         0 arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1]
* AKMGFOCH_03591      K03639  134.97  396.1  6.3e-119 GTP 3',8-cyclase [EC:4.1.99.22]
* AKMGFOCH_03593      K07093  122.93  448.4  2.2e-134 uncharacterized protein
* AKMGFOCH_03594      K08365  155.83  199.4     1e-59 MerR family transcriptional regulator, mercuric resistance operon regulatory protein
* AKMGFOCH_03595      K08363   61.60  139.6   4.7e-41 mercuric ion transport protein
* AKMGFOCH_03596      K08364   81.47  111.2   2.1e-32 periplasmic mercuric ion binding protein
* AKMGFOCH_03596      K08363   61.60   67.3   5.5e-19 mercuric ion transport protein
* AKMGFOCH_03597      K00520  464.80  800.3    6e-241 mercuric reductase [EC:1.16.1.1]
* AKMGFOCH_03598      K19057  103.47  191.8   1.2e-57 MerR family transcriptional regulator, mercuric resistance operon regulatory protein
* AKMGFOCH_03599      K19059   58.80  110.3   1.5e-32 mercuric ion transport protein
* AKMGFOCH_03601      K14060  130.60  162.1     6e-48 putative DNA-invertase from lambdoid prophage Rac
* AKMGFOCH_03604      K10947   42.97   82.8   9.5e-24 PadR family transcriptional regulator, regulatory protein PadR
* AKMGFOCH_03605      K07240   42.83  122.0   1.2e-35 chromate transporter
* AKMGFOCH_03607      K03321  359.13  490.7  2.6e-147 sulfate permease, SulP family
* AKMGFOCH_03610      K03169  545.27  838.3  2.7e-252 DNA topoisomerase III [EC:5.6.2.1]
* AKMGFOCH_03612      K03111   31.73   31.9   3.6e-08 single-strand DNA-binding protein
* AKMGFOCH_03619      K12055  155.53  352.8  6.5e-106 chromosome partitioning related protein ParA
* AKMGFOCH_03619      K03496  136.40  145.5     1e-42 chromosome partitioning protein
* AKMGFOCH_03621      K02523  344.23  473.1    4e-142 octaprenyl-diphosphate synthase [EC:2.5.1.90]
* AKMGFOCH_03622      K02888   28.97  145.4   8.1e-43 large subunit ribosomal protein L21
* AKMGFOCH_03623      K02899   34.77  147.4   2.3e-43 large subunit ribosomal protein L27
* AKMGFOCH_03624      K03979  148.10  518.4  8.5e-156 GTPase [EC:3.6.5.-]
* AKMGFOCH_03625      K00931  281.00  506.7  3.5e-152 glutamate 5-kinase [EC:2.7.2.11]
* AKMGFOCH_03626      K13876  284.03  475.7  1.5e-143 2-keto-3-deoxy-L-arabinonate dehydratase [EC:4.2.1.43]
* AKMGFOCH_03627      K13021  517.40  525.5  3.3e-158 MFS transporter, ACS family, tartrate transporter
* AKMGFOCH_03628      K13877  603.63  732.7  8.9e-221 2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]
* AKMGFOCH_03629      K13875  986.73 1073.7         0 L-arabonate dehydrase [EC:4.2.1.25]
* AKMGFOCH_03630      K02623  255.63  258.8   2.5e-77 LysR family transcriptional regulator, pca operon transcriptional activator
* AKMGFOCH_03634      K03147  574.10 1122.1         0 phosphomethylpyrimidine synthase [EC:4.1.99.17]
* AKMGFOCH_03636      K05799  137.50  201.4   1.1e-59 GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
* AKMGFOCH_03638      K21029  307.53  351.1  2.1e-105 molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]
* AKMGFOCH_03639      K03797  129.83  420.1  4.4e-126 carboxyl-terminal processing protease [EC:3.4.21.102]
* AKMGFOCH_03640      K22719  162.73  376.1    1e-112 murein hydrolase activator
* AKMGFOCH_03641      K01834  149.87  402.7  6.4e-121 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
* AKMGFOCH_03642      K03972   90.30   91.9   1.6e-26 phage shock protein E
* AKMGFOCH_03643      K03676   82.00  118.0   1.6e-34 glutaredoxin 3
* AKMGFOCH_03644      K03071   34.33  207.1   8.2e-62 preprotein translocase subunit SecB
* AKMGFOCH_03645      K00057  276.07  449.6  5.9e-135 glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
* AKMGFOCH_03646      K07795   99.77  285.3   3.3e-85 putative tricarboxylic transport membrane protein
* AKMGFOCH_03647      K03216   97.77  226.4   1.3e-67 tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]
* AKMGFOCH_03648      K02242   62.30  118.6   1.2e-34 competence protein ComFC
* AKMGFOCH_03649      K02169  164.90  245.0   5.8e-73 malonyl-CoA O-methyltransferase [EC:2.1.1.197]
* AKMGFOCH_03650      K06048  110.40  393.0  6.6e-118 glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]
* AKMGFOCH_03651      K03498  124.90  286.9   1.1e-85 trk/ktr system potassium uptake protein
* AKMGFOCH_03652      K03499  127.67  197.7   9.8e-59 trk/ktr system potassium uptake protein
* AKMGFOCH_03654      K13598  291.07  507.4  2.9e-152 two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]
* AKMGFOCH_03656      K03500  293.33  435.9  1.3e-130 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
* AKMGFOCH_03657      K05834  159.47  222.0     2e-66 homoserine/homoserine lactone efflux protein
* AKMGFOCH_03658      K14441  414.03  705.0  3.4e-212 ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]
* AKMGFOCH_03659      K11741  106.10  120.2   4.4e-35 quaternary ammonium compound-resistance protein SugE
* AKMGFOCH_03661      K03594   81.97  197.6     1e-58 bacterioferritin [EC:1.16.3.1]
* AKMGFOCH_03662      K22522   72.70  241.2   4.1e-72 cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]
* AKMGFOCH_03664      K01091  121.67  142.2   8.7e-42 phosphoglycolate phosphatase [EC:3.1.3.18]
* AKMGFOCH_03665      K05873   78.40   79.6     1e-22 adenylate cyclase, class 2 [EC:4.6.1.1]
* AKMGFOCH_03666      K00604  265.00  341.3  3.3e-102 methionyl-tRNA formyltransferase [EC:2.1.2.9]
* AKMGFOCH_03667      K01462   68.73  237.2   1.1e-70 peptide deformylase [EC:3.5.1.88]
* AKMGFOCH_03668      K04096   37.00  436.2  1.2e-130 DNA processing protein
* AKMGFOCH_03669      K01640  138.87  519.4  2.9e-156 hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]
* AKMGFOCH_03671      K09969  281.23  549.6  1.3e-165 general L-amino acid transport system substrate-binding protein
* AKMGFOCH_03672      K05825  395.27  452.4  8.1e-136 2-aminoadipate transaminase [EC:2.6.1.-]
* AKMGFOCH_03673      K06997   71.77  301.8   2.9e-90 PLP dependent protein
* AKMGFOCH_03674      K07795   99.77  329.8     1e-98 putative tricarboxylic transport membrane protein
* AKMGFOCH_03678      K01754  257.83  499.1  6.3e-150 threonine dehydratase [EC:4.3.1.19]
* AKMGFOCH_03679      K03285  336.87  386.8    5e-116 general bacterial porin, GBP family
* AKMGFOCH_03682      K00759  103.73  277.7   3.8e-83 adenine phosphoribosyltransferase [EC:2.4.2.7]
* AKMGFOCH_03683      K16012  450.53  556.1  3.8e-167 ATP-binding cassette, subfamily C, bacterial CydC
* AKMGFOCH_03684      K16013  495.90  670.9  7.9e-202 ATP-binding cassette, subfamily C, bacterial CydD
* AKMGFOCH_03685      K00424   33.97   59.9   9.4e-17 cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]
* AKMGFOCH_03686      K00426   73.97  384.3  3.2e-115 cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
* AKMGFOCH_03687      K00425  161.30  633.7  1.4e-190 cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]
* AKMGFOCH_03689      K08289  266.83  732.6  1.8e-220 phosphoribosylglycinamide formyltransferase 2 [EC:6.3.1.21]
* AKMGFOCH_03690      K06041  164.97  485.8  5.1e-146 arabinose-5-phosphate isomerase [EC:5.3.1.13]
* AKMGFOCH_03691      K03270  164.93  239.5   1.3e-71 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
* AKMGFOCH_03692      K11719   48.60  120.3   4.5e-35 lipopolysaccharide export system protein LptC
* AKMGFOCH_03693      K09774   58.97  103.3   6.7e-30 lipopolysaccharide export system protein LptA
* AKMGFOCH_03694      K06861  268.63  436.0  6.2e-131 lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]
* AKMGFOCH_03695      K05808   51.90  133.3   2.7e-39 putative sigma-54 modulation protein
* AKMGFOCH_03696      K02806  163.57  180.2   2.6e-53 nitrogen PTS system EIIA component [EC:2.7.1.-]
* AKMGFOCH_03697      K06023   59.30  359.6  1.2e-107 HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]
* AKMGFOCH_03701      K06958  155.27  388.9    8e-117 RNase adapter protein RapZ
* AKMGFOCH_03702      K03642   44.27  253.4   1.6e-75 rare lipoprotein A
* AKMGFOCH_03703      K00567   82.17  202.5   3.7e-60 methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]
* AKMGFOCH_03704      K07056  100.60  360.9  2.6e-108 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
* AKMGFOCH_03705      K07460   31.93  138.7   6.7e-41 putative endonuclease
* AKMGFOCH_03706      K03271  132.03  262.4   1.6e-78 D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
* AKMGFOCH_03707      K04065   51.57   66.9   1.2e-18 hyperosmotically inducible periplasmic protein
* AKMGFOCH_03708      K02199   93.00  110.7     3e-32 cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
* AKMGFOCH_03709      K02073   97.27  414.5  1.7e-124 D-methionine transport system substrate-binding protein
* AKMGFOCH_03710      K00930  215.50  457.7  1.8e-137 acetylglutamate kinase [EC:2.7.2.8]
* AKMGFOCH_03711      K07025  112.53  121.6   1.5e-35 putative hydrolase of the HAD superfamily
* AKMGFOCH_03712      K05501  128.17  268.6   1.2e-80 TetR/AcrR family transcriptional regulator
* AKMGFOCH_03713      K14445  145.20  231.1   8.9e-69 solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5
* AKMGFOCH_03715      K07486   30.00  208.3   8.9e-62 transposase
* AKMGFOCH_03716      K07486   30.00  205.2   8.1e-61 transposase
* AKMGFOCH_03717      K05837  391.30  453.4  3.6e-136 rod shape determining protein RodA
* AKMGFOCH_03718      K05515  500.23  836.7  9.5e-252 penicillin-binding protein 2 [EC:3.4.16.4]
* AKMGFOCH_03719      K03571   28.40  119.6   6.5e-35 rod shape-determining protein MreD
* AKMGFOCH_03720      K03570   53.50  281.7   3.5e-84 rod shape-determining protein MreC
* AKMGFOCH_03721      K03569  109.57  561.5  4.7e-169 rod shape-determining protein MreB and related proteins
* AKMGFOCH_03722      K02435   70.00  101.8   1.6e-29 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
* AKMGFOCH_03723      K02433  440.37  659.3    2e-198 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
* AKMGFOCH_03723      K01426  293.00  361.1  4.6e-108 amidase [EC:3.5.1.4]
* AKMGFOCH_03724      K02434  438.50  752.4    2e-226 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
* AKMGFOCH_03727      K00762   90.07  216.0   3.2e-64 orotate phosphoribosyltransferase [EC:2.4.2.10]
* AKMGFOCH_03728      K01142  227.50  342.6  1.6e-102 exodeoxyribonuclease III [EC:3.1.11.2]
* AKMGFOCH_03729      K00262  449.07  775.9  2.2e-233 glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
* AKMGFOCH_03730      K09796   24.13  195.2   8.2e-58 periplasmic copper chaperone A
* AKMGFOCH_03731      K05596  168.60  400.8    2e-120 LysR family transcriptional regulator, chromosome initiation inhibitor
* AKMGFOCH_03732      K06895   83.47  221.5   4.2e-66 L-lysine exporter family protein LysE/ArgO
* AKMGFOCH_03734      K03566  205.53  300.3   8.3e-90 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* AKMGFOCH_03735      K01999  174.37  285.6   3.6e-85 branched-chain amino acid transport system substrate-binding protein
* AKMGFOCH_03736      K01997  143.13  243.4   1.3e-72 branched-chain amino acid transport system permease protein
* AKMGFOCH_03737      K01995  308.67  428.7  1.4e-128 branched-chain amino acid transport system ATP-binding protein
* AKMGFOCH_03737      K01998  236.27  296.4   1.3e-88 branched-chain amino acid transport system permease protein
* AKMGFOCH_03738      K01996  320.37  401.6  2.4e-120 branched-chain amino acid transport system ATP-binding protein
* AKMGFOCH_03739      K07486   30.00  208.3   8.9e-62 transposase
* AKMGFOCH_03740      K04063   53.87  191.3   6.5e-57 lipoyl-dependent peroxiredoxin [EC:1.11.1.28]
* AKMGFOCH_03741      K23775   94.40  184.2   1.7e-54 MarR family transcriptional regulator, organic hydroperoxide resistance regulator
* AKMGFOCH_03744      K01995  308.67  385.6  1.6e-115 branched-chain amino acid transport system ATP-binding protein
* AKMGFOCH_03745      K01997  143.13  233.4   1.4e-69 branched-chain amino acid transport system permease protein
* AKMGFOCH_03746      K01998  236.27  257.4   8.5e-77 branched-chain amino acid transport system permease protein
* AKMGFOCH_03749      K01996  320.37  364.3  4.8e-109 branched-chain amino acid transport system ATP-binding protein
* AKMGFOCH_03751      K17218  237.43  533.8  2.1e-160 sulfide:quinone oxidoreductase [EC:1.8.5.4]
* AKMGFOCH_03752      K07112   27.80   60.4   7.5e-17 uncharacterized protein
* AKMGFOCH_03753      K07112   27.80   72.2   1.9e-20 uncharacterized protein
* AKMGFOCH_03754      K22042  102.13  137.3   2.4e-40 ArsR family transcriptional regulator, virulence genes transcriptional regulator
* AKMGFOCH_03756      K23753  431.20  649.9    1e-195 AMP-polyphosphate phosphotransferase [EC:2.7.4.33]
* AKMGFOCH_03759      K03313   96.30  572.0  5.8e-172 Na+:H+ antiporter, NhaA family
* AKMGFOCH_03763      K01448   35.50  121.7   1.2e-35 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
* AKMGFOCH_03764      K00019  191.07  204.7   9.4e-61 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
* AKMGFOCH_03765      K03707  197.90  255.3   2.6e-76 thiaminase (transcriptional activator TenA) [EC:3.5.99.2]
* AKMGFOCH_03766      K03832   34.37   56.8   1.2e-15 periplasmic protein TonB
* AKMGFOCH_03767      K04045  627.60  797.8  1.9e-240 molecular chaperone HscC
* AKMGFOCH_03769      K15125  278.63 1317.2         0 filamentous hemagglutinin
* AKMGFOCH_03770      K07326  479.70  530.6  1.6e-159 hemolysin activation/secretion protein
* AKMGFOCH_03771      K03648   62.63  323.6     1e-96 uracil-DNA glycosylase [EC:3.2.2.27]
* AKMGFOCH_03772      K11927  551.20  573.6  1.6e-172 ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
* AKMGFOCH_03773      K18164  168.13  186.1   4.1e-55 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7
* AKMGFOCH_03775      K08309  135.37  397.6  6.6e-119 soluble lytic murein transglycosylase [EC:4.2.2.-]
* AKMGFOCH_03776      K01934   97.60  164.6   1.3e-48 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
* AKMGFOCH_03780      K07395  118.17  425.7  6.6e-128 putative proteasome-type protease
* AKMGFOCH_03781      K07795   99.77  324.2   5.3e-97 putative tricarboxylic transport membrane protein
* AKMGFOCH_03782      K00297  186.50  357.5  4.1e-107 methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]
* AKMGFOCH_03783      K08972   26.47  137.0   2.8e-40 putative membrane protein
* AKMGFOCH_03784      K01251   98.33  774.5  2.4e-233 adenosylhomocysteinase [EC:3.13.2.1]
* AKMGFOCH_03786      K06938   19.83   71.6   2.4e-20 uncharacterized protein
* AKMGFOCH_03787      K01561  229.40  423.8  2.4e-127 haloacetate dehalogenase [EC:3.8.1.3]
* AKMGFOCH_03788      K01704  129.43  225.0   3.7e-67 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]
* AKMGFOCH_03789      K01703  462.40  605.1    4e-182 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]
* AKMGFOCH_03790      K07795   99.77  305.5   2.6e-91 putative tricarboxylic transport membrane protein
* AKMGFOCH_03791      K16135  330.57  475.9  2.5e-143 LysR family transcriptional regulator, transcriptional activator for dmlA
* AKMGFOCH_03791      K18900  320.60  321.0   4.3e-96 LysR family transcriptional regulator, regulator for bpeEF and oprC
* AKMGFOCH_03792      K03718  146.00  174.8     6e-52 Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA
* AKMGFOCH_03793      K03761  455.13  583.9  1.2e-175 MFS transporter, MHS family, alpha-ketoglutarate permease
* AKMGFOCH_03793      K03762  468.90  508.3  1.2e-152 MFS transporter, MHS family, proline/betaine transporter
* AKMGFOCH_03794      K01426  293.00  315.0   4.2e-94 amidase [EC:3.5.1.4]
* AKMGFOCH_03795      K00789   19.27  672.5  2.1e-202 S-adenosylmethionine synthetase [EC:2.5.1.6]
* AKMGFOCH_03796      K02517  204.87  254.5   8.2e-76 Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]
* AKMGFOCH_03797      K02517  204.87  303.1   1.5e-90 Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]
* AKMGFOCH_03798      K01778   82.33  357.3  3.5e-107 diaminopimelate epimerase [EC:5.1.1.7]
* AKMGFOCH_03799      K09921   98.77  242.5     2e-72 uncharacterized protein
* AKMGFOCH_03800      K03733  326.50  343.5  9.8e-103 integrase/recombinase XerC
* AKMGFOCH_03801      K08970   45.97  282.4   1.8e-84 nickel/cobalt transporter (NicO) family protein
* AKMGFOCH_03803      K02077  263.20  340.3    8e-102 zinc/manganese transport system substrate-binding protein
* AKMGFOCH_03803      K09815  264.13  277.3   1.2e-82 zinc transport system substrate-binding protein
* AKMGFOCH_03804      K02075  266.60  309.4   1.1e-92 zinc/manganese transport system permease protein
* AKMGFOCH_03805      K02074  293.90  318.9   1.2e-95 zinc/manganese transport system ATP-binding protein
* AKMGFOCH_03806      K09823  103.97  200.1   1.7e-59 Fur family transcriptional regulator, zinc uptake regulator
* AKMGFOCH_03808      K06204   34.10  222.9   4.6e-66 DnaK suppressor protein
* AKMGFOCH_03809      K01419   88.00  335.6  1.2e-100 ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]
* AKMGFOCH_03810      K03667  291.93  732.5  1.7e-220 ATP-dependent HslUV protease ATP-binding subunit HslU
* AKMGFOCH_03811      K07810   89.20   90.0   7.3e-26 Cu(I)/Ag(I) efflux system periplasmic protein CusF
* AKMGFOCH_03812      K00798   35.20  253.4   8.9e-76 cob(I)alamin adenosyltransferase [EC:2.5.1.17]
* AKMGFOCH_03813      K01710  479.30  573.7  1.2e-172 dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]
* AKMGFOCH_03815      K00067  297.03  345.1    3e-103 dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
* AKMGFOCH_03816      K00973  259.83  546.3  3.2e-164 glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
* AKMGFOCH_03822      K09690  232.20  256.3   1.8e-76 lipopolysaccharide transport system permease protein
* AKMGFOCH_03825      K16568  110.33  126.4   5.1e-37 exopolysaccharide production protein ExoZ
* AKMGFOCH_03826      K16870  141.17  193.8   1.8e-57 N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]
* AKMGFOCH_03826      K21001  139.90  189.1   5.1e-56 polysaccharide biosynthesis protein PslH
* AKMGFOCH_03827      K07031  204.40  372.9  5.2e-112 D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168]
* AKMGFOCH_03828      K03271  132.03  228.0   4.9e-68 D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
* AKMGFOCH_03829      K03273  151.80  205.1   7.3e-61 D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
* AKMGFOCH_03831      K07497   18.93   23.0   1.8e-05 putative transposase
* AKMGFOCH_03839      K03644  122.43  483.5  2.2e-145 lipoyl synthase [EC:2.8.1.8]
* AKMGFOCH_03841      K07126   62.80  136.9   3.5e-40 uncharacterized protein
* AKMGFOCH_03843      K09158   35.00  129.1     4e-38 uncharacterized protein
* AKMGFOCH_03844      K00824  290.03  421.3  6.9e-127 D-alanine transaminase [EC:2.6.1.21]
* AKMGFOCH_03846      K07018  108.97  221.6   6.4e-66 uncharacterized protein
* AKMGFOCH_03847      K18480   99.83  140.3   3.3e-41 cholesterol transport system auxiliary component
* AKMGFOCH_03848      K02067   83.03  126.7   4.5e-37 phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
* AKMGFOCH_03849      K02065  299.20  362.0  1.9e-108 phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
* AKMGFOCH_03850      K02066   40.93  291.4     3e-87 phospholipid/cholesterol/gamma-HCH transport system permease protein
* AKMGFOCH_03851      K03524  155.90  193.5   2.8e-57 BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]
* AKMGFOCH_03852      K03525   54.77  206.4   2.9e-61 type III pantothenate kinase [EC:2.7.1.33]
* AKMGFOCH_03854      K02527   73.50  478.8  9.5e-144 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
* AKMGFOCH_03855      K02841  229.87  363.3  4.9e-109 lipopolysaccharide heptosyltransferase I [EC:2.4.99.23]
* AKMGFOCH_03857      K09386   34.77  150.2   3.2e-44 uncharacterized protein
* AKMGFOCH_03860      K06131  262.43  371.8  2.5e-111 cardiolipin synthase A/B [EC:2.7.8.-]
* AKMGFOCH_03862      K01876  340.90  858.6  1.9e-258 aspartyl-tRNA synthetase [EC:6.1.1.12]
* AKMGFOCH_03869      K00227  133.23  136.2   5.4e-40 Delta7-sterol 5-desaturase [EC:1.14.19.20]
* AKMGFOCH_03870      K01714  250.97  265.8   2.7e-79 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
* AKMGFOCH_03871      K08968   79.33  266.0   1.7e-79 L-methionine (R)-S-oxide reductase [EC:1.8.4.14]
