Entry	Feature	Location	Qualifier	Value
			product	Disulfide bond formation protein B
				
	CDS	complement(2911074..2911232)	locus_tag	HBIAX_02640
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2911493..2912374)	gene	purC
			locus_tag	HBIAX_02641
			EC_number	6.3.2.6
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:A0R4I0
			codon_start	1
			transl_table	11
			product	Phosphoribosylaminoimidazole-succinocarboxamide synthase
				
	CDS	2912548..2913003	locus_tag	HBIAX_02642
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2913087..2914151)	gene	cbbA_1
			locus_tag	HBIAX_02643
			EC_number	4.1.2.13
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q56815
			codon_start	1
			transl_table	11
			product	Fructose-bisphosphate aldolase
				
	CDS	complement(2914325..2915224)	locus_tag	HBIAX_02644
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2915484..2916794	gene	dctA_1
			locus_tag	HBIAX_02645
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A830
			codon_start	1
			transl_table	11
			product	Aerobic C4-dicarboxylate transport protein
				
	CDS	complement(2916909..2917343)	locus_tag	HBIAX_02646
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2917462..2918667)	gene	phnM_1
			locus_tag	HBIAX_02647
			EC_number	3.6.1.63
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P16689
			codon_start	1
			transl_table	11
			product	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
				
	CDS	complement(2918670..2919386)	gene	phnL
			locus_tag	HBIAX_02648
			EC_number	2.7.8.37
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P16679
			codon_start	1
			transl_table	11
			product	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
				
	CDS	complement(2919389..2920165)	gene	phnK
			locus_tag	HBIAX_02649
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P16678
			codon_start	1
			transl_table	11
			product	Putative phosphonates utilization ATP-binding protein PhnK
				
	CDS	complement(2920162..2921052)	gene	phnJ
			locus_tag	HBIAX_02650
			EC_number	4.7.1.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P16688
			codon_start	1
			transl_table	11
			product	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
				
	CDS	complement(2921049..2922164)	gene	phnI
			locus_tag	HBIAX_02651
			EC_number	2.7.8.37
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P16687
			codon_start	1
			transl_table	11
			product	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
				
	CDS	complement(2922166..2922783)	gene	phnH
			locus_tag	HBIAX_02652
			EC_number	2.7.8.37
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P16686
			codon_start	1
			transl_table	11
			product	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
				
	CDS	complement(2922785..2923255)	gene	phnG
			locus_tag	HBIAX_02653
			EC_number	2.7.8.37
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P16685
			codon_start	1
			transl_table	11
			product	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
				
	CDS	2923440..2924162	gene	phnF
			locus_tag	HBIAX_02654
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P16684
			codon_start	1
			transl_table	11
			product	putative transcriptional regulator PhnF
				
	CDS	2924256..2925452	gene	phnM_2
			locus_tag	HBIAX_02655
			EC_number	3.6.1.63
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P16689
			codon_start	1
			transl_table	11
			product	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
				
	CDS	2925455..2926198	locus_tag	HBIAX_02656
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2926195..2926773	gene	phnN
			locus_tag	HBIAX_02657
			EC_number	2.7.4.23
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P16690
			codon_start	1
			transl_table	11
			product	"Ribose 1,5-bisphosphate phosphokinase PhnN"
				
	CDS	complement(2926815..2927774)	gene	gbpR_3
			locus_tag	HBIAX_02658
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P52661
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator GbpR
				
	CDS	2927882..2929714	gene	ywrD_3
			locus_tag	HBIAX_02659
			EC_number	2.3.2.2
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O05218
			codon_start	1
			transl_table	11
			product	Glutathione hydrolase-like YwrD proenzyme
				
	CDS	2929771..2930742	locus_tag	HBIAX_02660
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:B3EWP1
			note	UPF0065 protein in clcB-clcD intergenic region
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2930739..2931236	locus_tag	HBIAX_02661
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2931268..2932062)	gene	phnE_1
			locus_tag	HBIAX_02662
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:A0QQ68
			codon_start	1
			transl_table	11
			product	Phosphate-import permease protein PhnE
				
	CDS	complement(2932139..2933119)	locus_tag	HBIAX_02663
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2933149..2933991)	gene	phnC_1
			locus_tag	HBIAX_02664
			EC_number	7.3.2.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:A0QQ70
			codon_start	1
			transl_table	11
			product	Phosphate-import ATP-binding protein PhnC
				
	CDS	2934190..2934621	locus_tag	HBIAX_02665
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2934686..2935033	locus_tag	HBIAX_02666
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2935030..2935569	locus_tag	HBIAX_02667
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2936087..2936350	gene	infA_1
			locus_tag	HBIAX_02668
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q2YPC1
			codon_start	1
			transl_table	11
			product	Translation initiation factor IF-1
				
	CDS	2936464..2936844	locus_tag	HBIAX_02669
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2936858..2937742)	locus_tag	HBIAX_02670
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2937742..2938086)	locus_tag	HBIAX_02671
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2938126..2938773)	gene	mog
			locus_tag	HBIAX_02672
			EC_number	2.7.7.75
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AF03
			codon_start	1
			transl_table	11
			product	Molybdopterin adenylyltransferase
				
	CDS	2939038..2940162	locus_tag	HBIAX_02673
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2940206..2940331	locus_tag	HBIAX_02674
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2940487..2941962	gene	pitA
			locus_tag	HBIAX_02675
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AFJ7
			codon_start	1
			transl_table	11
			product	Low-affinity inorganic phosphate transporter 1
				
	CDS	2942062..2942709	locus_tag	HBIAX_02676
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2942710..2943324)	gene	yfcG_4
			locus_tag	HBIAX_02677
			EC_number	1.8.4.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P77526
			codon_start	1
			transl_table	11
			product	Disulfide-bond oxidoreductase YfcG
				
	CDS	complement(2943445..2943762)	gene	cbpM
			locus_tag	HBIAX_02678
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01155
			codon_start	1
			transl_table	11
			product	Chaperone modulatory protein CbpM
				
	CDS	complement(2943765..2944727)	gene	cbpA
			locus_tag	HBIAX_02679
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P36659
			codon_start	1
			transl_table	11
			product	Curved DNA-binding protein
				
	CDS	2944843..2945391	gene	ypeA_1
			locus_tag	HBIAX_02680
			EC_number	2.3.1.-
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01127
			codon_start	1
			transl_table	11
			product	Acetyltransferase YpeA
				
	CDS	2945434..2945763	locus_tag	HBIAX_02681
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2945922..2946557	gene	yfcF
			locus_tag	HBIAX_02682
			EC_number	2.5.1.18
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P77544
			codon_start	1
			transl_table	11
			product	Glutathione S-transferase YfcF
				
	CDS	2946577..2946978	locus_tag	HBIAX_02683
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2947163..2949580	locus_tag	HBIAX_02684
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2949577..2950521	gene	pta_2
			locus_tag	HBIAX_02685
			EC_number	2.3.1.8
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9X0L4
			codon_start	1
			transl_table	11
			product	Phosphate acetyltransferase
				
	CDS	2950603..2951787	gene	ackA
			locus_tag	HBIAX_02686
			EC_number	2.7.2.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9WYB1
			codon_start	1
			transl_table	11
			product	Acetate kinase
				
	CDS	2951784..2952557	gene	fabI_1
			locus_tag	HBIAX_02687
			EC_number	1.3.1.9
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O24990
			codon_start	1
			transl_table	11
			product	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
				
	CDS	complement(2952587..2954236)	locus_tag	HBIAX_02688
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P9WGF7
			codon_start	1
			transl_table	11
			product	putative sulfate transporter
				
	CDS	2954577..2955560	locus_tag	HBIAX_02689
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:B3EWP1
			note	UPF0065 protein in clcB-clcD intergenic region
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2955647..2956840)	gene	pgk_1
			locus_tag	HBIAX_02690
			EC_number	2.7.2.3
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A799
			codon_start	1
			transl_table	11
			product	Phosphoglycerate kinase
				
	CDS	complement(2956938..2957948)	gene	epd
			locus_tag	HBIAX_02691
			EC_number	1.2.1.72
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A9B6
			codon_start	1
			transl_table	11
			product	D-erythrose-4-phosphate dehydrogenase
				
	CDS	complement(2957964..2960000)	gene	tktA_1
			locus_tag	HBIAX_02692
			EC_number	2.2.1.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P27302
			codon_start	1
			transl_table	11
			product	Transketolase 1
				
	CDS	2960259..2960759	locus_tag	HBIAX_02693
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2960864..2961595	gene	rsmE
			locus_tag	HBIAX_02694
			EC_number	2.1.1.193
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AGL7
			codon_start	1
			transl_table	11
			product	Ribosomal RNA small subunit methyltransferase E
				
	CDS	complement(2961679..2962146)	locus_tag	HBIAX_02695
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2962143..2963378)	locus_tag	HBIAX_02696
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2963359..2965647)	gene	maeB_1
			locus_tag	HBIAX_02697
			EC_number	1.1.1.40
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P76558
			codon_start	1
			transl_table	11
			product	NADP-dependent malic enzyme
				
	CDS	complement(2965788..2966684)	locus_tag	HBIAX_02698
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2966730..2967890	gene	aspC
			locus_tag	HBIAX_02699
			EC_number	2.6.1.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9X0Y2
			codon_start	1
			transl_table	11
			product	Aspartate aminotransferase
				
	CDS	2968308..2969444	locus_tag	HBIAX_02700
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2969788..2970927	locus_tag	HBIAX_02701
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2970944..2971762)	locus_tag	HBIAX_02702
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2971845..2973389	gene	ubiD
			locus_tag	HBIAX_02703
			EC_number	4.1.1.98
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AAB4
			codon_start	1
			transl_table	11
			product	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
				
	CDS	complement(2973413..2974309)	gene	pgrR_7
			locus_tag	HBIAX_02704
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P77333
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator PgrR
				
	CDS	2974484..2976007	gene	mdtL_2
			locus_tag	HBIAX_02705
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01530
			codon_start	1
			transl_table	11
			product	Multidrug resistance protein MdtL
				
	CDS	complement(2976069..2976437)	locus_tag	HBIAX_02706
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2976441..2976851)	locus_tag	HBIAX_02707
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2976920..2977237)	gene	yqjD
			locus_tag	HBIAX_02708
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P64581
			codon_start	1
			transl_table	11
			product	putative protein YqjD
				
	CDS	complement(2977320..2978051)	locus_tag	HBIAX_02709
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2978209..2979087)	gene	cmpD_2
			locus_tag	HBIAX_02710
			EC_number	3.6.3.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q55463
			codon_start	1
			transl_table	11
			product	Bicarbonate transport ATP-binding protein CmpD
				
	CDS	complement(2979092..2979967)	gene	cmpB_2
			locus_tag	HBIAX_02711
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q55106
			codon_start	1
			transl_table	11
			product	Bicarbonate transport system permease protein CmpB
				
	CDS	complement(2979996..2981294)	gene	nrtA
			locus_tag	HBIAX_02712
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P73452
			codon_start	1
			transl_table	11
			product	Nitrate/nitrite binding protein NrtA
				
	CDS	2981900..2983315	gene	cysG
			locus_tag	HBIAX_02713
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P25924
			codon_start	1
			transl_table	11
			product	Siroheme synthase
				
	CDS	complement(2983377..2984015)	gene	upp
			locus_tag	HBIAX_02714
			EC_number	2.4.2.9
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A8F0
			codon_start	1
			transl_table	11
			product	Uracil phosphoribosyltransferase
				
	CDS	complement(2984138..2985628)	gene	dacB
			locus_tag	HBIAX_02715
			EC_number	3.4.16.4
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P45161
			codon_start	1
			transl_table	11
			product	D-alanyl-D-alanine carboxypeptidase DacB
				
	CDS	complement(2985698..2986852)	locus_tag	HBIAX_02716
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2986919..2987422)	locus_tag	HBIAX_02717
			EC_number	1.5.1.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q92ZM6
			codon_start	1
			transl_table	11
			product	putative flavin reductase
				
	CDS	complement(2987446..2988459)	gene	limB
			locus_tag	HBIAX_02718
			EC_number	1.14.13.107
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9EUT9
			codon_start	1
			transl_table	11
			product	"Limonene 1,2-monooxygenase"
				
	CDS	2988581..2989414	gene	xynR_4
			locus_tag	HBIAX_02719
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P77300
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator XynR
				
	CDS	2989571..2990695	gene	queA
			locus_tag	HBIAX_02720
			EC_number	2.4.99.17
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A7F9
			codon_start	1
			transl_table	11
			product	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
				
	CDS	2990692..2991828	gene	tgt
			locus_tag	HBIAX_02721
			EC_number	2.4.2.29
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A847
			codon_start	1
			transl_table	11
			product	Queuine tRNA-ribosyltransferase
				
	CDS	complement(2991878..2992159)	locus_tag	HBIAX_02722
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(2992146..2992442)	locus_tag	HBIAX_02723
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2992815..2993159	gene	yajC
			locus_tag	HBIAX_02724
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0ADZ7
			codon_start	1
			transl_table	11
			product	Sec translocon accessory complex subunit YajC
				
	CDS	2993275..2995155	gene	secD_1
			locus_tag	HBIAX_02725
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AG90
			codon_start	1
			transl_table	11
			product	Protein translocase subunit SecD
				
	CDS	2995207..2996142	gene	secF
			locus_tag	HBIAX_02726
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:E9RGS4
			codon_start	1
			transl_table	11
			product	Protein translocase subunit SecF
				
	CDS	2996278..2996955	locus_tag	HBIAX_02727
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2996984..2997697	gene	alaS_1
			locus_tag	HBIAX_02728
			EC_number	6.1.1.7
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P00957
			codon_start	1
			transl_table	11
			product	Alanine--tRNA ligase
				
	CDS	complement(2997775..2998578)	locus_tag	HBIAX_02729
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	2998673..3000106	gene	miaB
			locus_tag	HBIAX_02730
			EC_number	2.8.4.3
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AEI1
			codon_start	1
			transl_table	11
			product	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
				
	CDS	3000103..3001128	gene	ybeZ
			locus_tag	HBIAX_02731
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A9K3
			codon_start	1
			transl_table	11
			product	PhoH-like protein
				
	CDS	3001118..3001591	gene	ybeY
			locus_tag	HBIAX_02732
			EC_number	3.1.-.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P71335
			codon_start	1
			transl_table	11
			product	Endoribonuclease YbeY
				
	CDS	3001746..3002636	gene	corC
			locus_tag	HBIAX_02733
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AE78
			codon_start	1
			transl_table	11
			product	Magnesium and cobalt efflux protein CorC
				
	CDS	3002633..3004264	gene	lnt
			locus_tag	HBIAX_02734
			EC_number	2.3.1.269
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q8FJY4
			codon_start	1
			transl_table	11
			product	Apolipoprotein N-acyltransferase
				
	CDS	complement(3004403..3005458)	gene	yhdN
			locus_tag	HBIAX_02735
			EC_number	1.1.1.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P80874
			codon_start	1
			transl_table	11
			product	Aldo-keto reductase YhdN
				
	tRNA	3005771..3005846	locus_tag	HBIAX_02736
			product	tRNA-Ala
			inference	COORDINATES:profile:Aragorn:001002
			note	tRNA-Ala(ggc)
				
	tRNA	3005901..3005976	locus_tag	HBIAX_02737
			product	tRNA-Glu
			inference	COORDINATES:profile:Aragorn:001002
			note	tRNA-Glu(ttc)
				
	tRNA	3006038..3006114	locus_tag	HBIAX_02738
			product	tRNA-Asp
			inference	COORDINATES:profile:Aragorn:001002
			note	tRNA-Asp(gtc)
				
	tRNA	3006218..3006293	locus_tag	HBIAX_02739
			product	tRNA-Ala
			inference	COORDINATES:profile:Aragorn:001002
			note	tRNA-Ala(ggc)
				
	tRNA	3006339..3006414	locus_tag	HBIAX_02740
			product	tRNA-Glu
			inference	COORDINATES:profile:Aragorn:001002
			note	tRNA-Glu(ttc)
				
	tRNA	3006490..3006566	locus_tag	HBIAX_02741
			product	tRNA-Asp
			inference	COORDINATES:profile:Aragorn:001002
			note	tRNA-Asp(gtc)
				
	CDS	3006798..3008285	locus_tag	HBIAX_02742
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	3008536..3009561	gene	bioB
			locus_tag	HBIAX_02743
			EC_number	2.8.1.6
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P12996
			codon_start	1
			transl_table	11
			product	Biotin synthase
				
	CDS	3009558..3010445	locus_tag	HBIAX_02744
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(3010459..3011853)	gene	ycaD
			locus_tag	HBIAX_02745
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01149
			codon_start	1
			transl_table	11
			product	putative MFS-type transporter YcaD
				
	CDS	complement(3011942..3012445)	locus_tag	HBIAX_02746
			EC_number	1.11.1.15
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P73728
			codon_start	1
			transl_table	11
			product	Peroxiredoxin
				
	CDS	3012675..3013100	locus_tag	HBIAX_02747
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	3013069..3013878	locus_tag	HBIAX_02748
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(3013975..3014859)	gene	clcD_1
			locus_tag	HBIAX_02749
			EC_number	3.1.1.45
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A114
			codon_start	1
			transl_table	11
			product	Carboxymethylenebutenolidase
				
	CDS	complement(3014922..3018536)	locus_tag	HBIAX_02750
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
				
	CDS	3018864..3019352	gene	moaC
			locus_tag	HBIAX_02751
			EC_number	4.6.1.17
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q5L3F4
			codon_start	1
			transl_table	11
			product	Cyclic pyranopterin monophosphate synthase
				
	CDS	3019333..3019584	gene	moaD
			locus_tag	HBIAX_02752
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P30748
			codon_start	1
			transl_table	11
			product	Molybdopterin synthase sulfur carrier subunit
				
	CDS	3019590..3020072	locus_tag	HBIAX_02753
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
				
	CDS	3020069..3020593	gene	moaB
			locus_tag	HBIAX_02754
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AEZ9
			codon_start	1
			transl_table	11
			product	Molybdenum cofactor biosynthesis protein B
				
	CDS	3020599..3021804	gene	moeA
			locus_tag	HBIAX_02755
			EC_number	2.10.1.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P12281
			codon_start	1
			transl_table	11
			product	Molybdopterin molybdenumtransferase
				
	CDS	complement(3021789..3022421)	gene	mobA
			locus_tag	HBIAX_02756
			EC_number	2.7.7.77
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P32173
			codon_start	1
			transl_table	11
			product	Molybdenum cofactor guanylyltransferase
				
	CDS	complement(3022414..3023535)	gene	moaA_2
			locus_tag	HBIAX_02757
			EC_number	4.1.99.22
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P69848
			codon_start	1
			transl_table	11
			product	"GTP 3',8-cyclase"
				
	CDS	complement(3023544..3024620)	locus_tag	HBIAX_02758
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	3024779..3025336	locus_tag	HBIAX_02759
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	3025333..3026913	gene	hndC
			locus_tag	HBIAX_02760
			EC_number	1.12.1.3
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q46507
			codon_start	1
			transl_table	11
			product	NADP-reducing hydrogenase subunit HndC
				
	CDS	3026927..3029803	locus_tag	HBIAX_02761
			EC_number	1.17.1.9
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q99RW4
			codon_start	1
			transl_table	11
			product	Putative formate dehydrogenase
				
	CDS	3029828..3030664	gene	fdhD
			locus_tag	HBIAX_02762
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O87816
			codon_start	1
			transl_table	11
			product	Sulfur carrier protein FdhD
				
	CDS	3030670..3030927	locus_tag	HBIAX_02763
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
